Date	mean_groundwater
2015-01-31	-9.508253658900836
2015-02-28	-9.542022983193277
2015-03-31	-10.02372311827957
2015-04-30	-10.304583333333332
2015-05-31	-10.29516129032258
2015-06-30	-9.798194444444444
2015-07-31	-9.804516129032258
2015-08-31	-9.87755376344086
2015-09-30	-10.342222222222222
2015-10-31	-10.268758960573479
2015-11-30	-9.75
2015-12-31	-9.672700119474314
2016-01-31	-9.733313396057348
2016-02-29	-9.898719411764706
2016-03-31	-10.351545698924731
2016-04-30	-10.530416666666666
2016-05-31	-10.5
2016-06-30	-10.114305555555557
2016-07-31	-10.105322580645161
2016-08-31	-10.17687275985663
2016-09-30	-10.641637426900584
2016-10-31	-10.56472670250896
2016-11-30	-10.038888888888888
2016-12-31	-9.948695738749503
2017-01-31	-9.879992383512544
2017-02-28	-9.898719411764706
2017-03-31	-10.351545698924731
2017-04-30	-10.578749999999998
2017-05-31	-10.781818181818181
2017-06-30	-10.29986111111111
2017-07-31	-10.296451612903226
2017-08-31	-10.394677419354839
2017-09-30	-11.780833333333334
2017-10-31	-11.738279569892473
2017-11-30	-10.213333333333333
2017-12-31	-9.85483870967742
2018-01-31	-9.864516129032259
2018-02-28	-9.631938392857144
2018-03-31	-10.799395161290322
2018-04-30	-11.641666666666666
2018-05-31	-11.616935483870968
2018-06-30	-10.4675
2018-07-31	-10.524193548387096
2018-08-31	-10.537096774193548
2018-09-30	-10.534078947368421
2018-10-31	-10.094354838709677
2018-11-30	-10.434166666666666
2018-12-31	-10.399999999999999
2019-01-31	-10.264881944444443
2019-02-28	-10.259375
2019-03-31	-10.277016129032258
2019-04-30	-10.166666666666666
2019-05-31	-10.137390029325513
2019-06-30	-9.727361111111112
2019-07-31	-9.796129032258065
2019-08-31	-9.898163082437275
2019-09-30	-9.909415204678364
2019-10-31	-10.157513440860216
2019-11-30	-9.758055555555554
2019-12-31	-9.867244125846277
2020-01-31	-10.028996789127836
2020-02-29	-10.152478448275863
2020-03-31	-10.306048387096773
2020-04-30	-10.250416666666666
2020-05-31	-10.255938416422287
2020-06-30	-10.278611111111111
